WKT,Longitude,Latitude,Description,Satellite,Orbit,Time_WST,Date,SatZenith,Confidence,Intensity,Receiving_Station
"POINT (116.785 -20.605)","116.785","-20.605","Possible FHS
",NOAA-19,"62025",18:54,"20210219","5.01","-1.00","-1.00",Alice Springs
"POINT (124.365 -21.495)","124.365","-21.495","Possible FHS
",NOAA-19,"62025",18:54,"20210219","48.35","-1.00","-1.00",Alice Springs
"POINT (115.005 -21.705)","115.005","-21.705","Possible FHS
",NOAA-19,"62025",18:54,"20210219","10.56","-1.00","-1.00",Alice Springs
"POINT (117.435 -30.655)","117.435","-30.655","Possible FHS
",NOAA-19,"62025",18:54,"20210219","9.83","-1.00","-1.00",Alice Springs
"POINT (117.445 -30.655)","117.445","-30.655","Possible FHS
",NOAA-19,"62025",18:54,"20210219","9.76","-1.00","-1.00",Alice Springs
"POINT (117.455 -30.655)","117.455","-30.655","Possible FHS
",NOAA-19,"62025",18:54,"20210219","9.69","-1.00","-1.00",Alice Springs
"POINT (121.485 -30.885)","121.485","-30.885","
",NOAA-19,"62025",18:54,"20210219","17.30","-1.00","-1.00",Alice Springs
"POINT (121.495 -30.885)","121.495","-30.885","
",NOAA-19,"62025",18:54,"20210219","17.37","-1.00","-1.00",Alice Springs
"POINT (121.055 -32.045)","121.055","-32.045","
",NOAA-19,"62025",18:54,"20210219","12.10","-1.00","-1.00",Alice Springs
"POINT (118.145 -32.895)","118.145","-32.895","
",NOAA-19,"62025",18:54,"20210219","9.27","-1.00","-1.00",Alice Springs
"POINT (116.785 -20.605)","116.785","-20.605","Possible FHS
",NOAA-19,"62026",18:54,"20210219","5.01","-1.00","-1.00",Murdoch
"POINT (124.365 -21.495)","124.365","-21.495","Possible FHS
",NOAA-19,"62026",18:54,"20210219","48.35","-1.00","-1.00",Murdoch
"POINT (115.005 -21.705)","115.005","-21.705","Possible FHS
",NOAA-19,"62026",18:54,"20210219","10.56","-1.00","-1.00",Murdoch
"POINT (117.435 -30.655)","117.435","-30.655","Possible FHS
",NOAA-19,"62026",18:54,"20210219","9.83","-1.00","-1.00",Murdoch
"POINT (117.445 -30.655)","117.445","-30.655","Possible FHS
",NOAA-19,"62026",18:54,"20210219","9.76","-1.00","-1.00",Murdoch
"POINT (117.455 -30.655)","117.455","-30.655","Possible FHS
",NOAA-19,"62026",18:54,"20210219","9.69","-1.00","-1.00",Murdoch
"POINT (121.485 -30.885)","121.485","-30.885","
",NOAA-19,"62026",18:54,"20210219","17.30","-1.00","-1.00",Murdoch
"POINT (121.495 -30.885)","121.495","-30.885","
",NOAA-19,"62026",18:54,"20210219","17.37","-1.00","-1.00",Murdoch
"POINT (118.145 -32.895)","118.145","-32.895","
",NOAA-19,"62026",18:54,"20210219","9.27","-1.00","-1.00",Murdoch
"POINT (116.785 -20.605)","116.785","-20.605","Possible FHS
",NOAA-19,"62025",18:56,"20210219","5.01","-1.00","-1.00",Learmonth
"POINT (124.365 -21.495)","124.365","-21.495","Possible FHS
",NOAA-19,"62025",18:56,"20210219","48.35","-1.00","-1.00",Learmonth
"POINT (115.005 -21.705)","115.005","-21.705","Possible FHS
",NOAA-19,"62025",18:56,"20210219","10.56","-1.00","-1.00",Learmonth
"POINT (117.435 -30.655)","117.435","-30.655","Possible FHS
",NOAA-19,"62025",18:56,"20210219","9.83","-1.00","-1.00",Learmonth
"POINT (117.445 -30.655)","117.445","-30.655","Possible FHS
",NOAA-19,"62025",18:56,"20210219","9.76","-1.00","-1.00",Learmonth
"POINT (117.455 -30.655)","117.455","-30.655","Possible FHS
",NOAA-19,"62025",18:56,"20210219","9.69","-1.00","-1.00",Learmonth
"POINT (121.485 -30.885)","121.485","-30.885","
",NOAA-19,"62025",18:56,"20210219","17.30","-1.00","-1.00",Learmonth
"POINT (121.495 -30.885)","121.495","-30.885","
",NOAA-19,"62025",18:56,"20210219","17.37","-1.00","-1.00",Learmonth
"POINT (118.145 -32.895)","118.145","-32.895","
",NOAA-19,"62025",18:56,"20210219","9.27","-1.00","-1.00",Learmonth
"POINT (116.785 -20.605)","116.785","-20.605","Possible FHS
",NOAA-19,"62025",18:59,"20210219","5.01","-1.00","-1.00",Darwin
"POINT (124.365 -21.495)","124.365","-21.495","Possible FHS
",NOAA-19,"62025",18:59,"20210219","48.35","-1.00","-1.00",Darwin
"POINT (115.005 -21.705)","115.005","-21.705","Possible FHS
",NOAA-19,"62025",18:59,"20210219","10.56","-1.00","-1.00",Darwin
"POINT (118.505 -25.925)","118.505","-25.925","FHS 
",NOAA-23,"11870",21:36,"20210219","124.89","-1.00","-1.00",Murdoch
"POINT (117.455 -30.645)","117.455","-30.645","FHS 
",NOAA-23,"11870",21:36,"20210219","121.19","-1.00","-1.00",Murdoch
